checked_at,route,outbound,return,price,currency,airlines,stops
2026-08-01 21:08 UTC,CPH-CAN,2027-03-20,2027-04-10,8152,DKK,Air China,1
2026-08-02 08:18 UTC,CPH-CAN,2027-03-20,2027-04-10,8411,DKK,Air China,1
2026-08-02 10:26 UTC,CPH-CAN,2027-03-20,2027-04-10,7786,DKK,Air China,1
2026-08-02 10:35 UTC,CPH-CAN,2027-03-20,2027-04-10,7786,DKK,Air China,1
2026-08-02 10:42 UTC,CPH-CAN,2027-03-20,2027-04-10,7786,DKK,Air China,1
2026-08-03 09:38 UTC,CPH-CAN,2027-03-20,2027-04-10,8411,DKK,Air China,1
2026-08-04 08:31 UTC,CPH-CAN,2027-03-20,2027-04-10,8151,DKK,Air China,1
2026-08-05 08:30 UTC,CPH-CAN,2027-03-20,2027-04-10,10539,DKK,Air China,1
2026-08-06 08:30 UTC,CPH-CAN,2027-03-20,2027-04-10,8095,DKK,Air China,1
2026-08-07 07:10 UTC,CPH-CAN,2027-03-20,2027-04-10,8352,DKK,Air China,1
2026-08-08 06:46 UTC,CPH-CAN,2027-03-20,2027-04-10,8352,DKK,Air China,1
2026-08-09 06:51 UTC,CPH-CAN,2027-03-20,2027-04-10,8352,DKK,Air China,1
2026-08-10 07:26 UTC,CPH-CAN,2027-03-20,2027-04-10,8352,DKK,Air China,1
2026-08-11 07:01 UTC,CPH-CAN,2027-03-20,2027-04-10,8111,DKK,Air China,1
2026-08-12 07:19 UTC,CPH-CAN,2027-03-20,2027-04-10,8352,DKK,Air China,1
2026-08-13 07:21 UTC,CPH-CAN,2027-03-20,2027-04-10,8352,DKK,Air China,1
2026-08-14 07:19 UTC,CPH-CAN,2027-03-20,2027-04-10,8094,DKK,Air China,1
2026-08-15 06:32 UTC,CPH-CAN,2027-03-20,2027-04-10,8353,DKK,Air China,1
2026-08-16 06:33 UTC,CPH-CAN,2027-03-20,2027-04-10,8095,DKK,Air China,1
2026-08-17 06:47 UTC,CPH-CAN,2027-03-20,2027-04-10,8621,DKK,Air China,1
2026-08-18 06:37 UTC,CPH-CAN,2027-03-20,2027-04-10,8530,DKK,Air China,1
2026-08-19 06:38 UTC,CPH-CAN,2027-03-20,2027-04-10,8802,DKK,Air China,1
2026-08-20 06:39 UTC,CPH-CAN,2027-03-20,2027-04-10,8802,DKK,Air China,1
2026-08-20 20:39 UTC,CPH-CAN,2027-03-20,2027-04-10,8094,DKK,Air China,1
2026-08-21 06:40 UTC,CPH-CAN,2027-03-20,2027-04-10,8352,DKK,Air China,1
2026-08-22 06:33 UTC,CPH-CAN,2027-03-20,2027-04-10,8352,DKK,Air China,1
2026-08-23 06:35 UTC,CPH-CAN,2027-03-20,2027-04-10,8069,DKK,Air China,1
2026-08-24 06:51 UTC,CPH-CAN,2027-03-20,2027-04-10,8352,DKK,Air China,1
2026-08-25 06:40 UTC,CPH-CAN,2027-03-20,2027-04-10,8352,DKK,Air China,1
2026-08-26 06:42 UTC,CPH-CAN,2027-03-20,2027-04-10,8352,DKK,Air China,1
2026-08-26 06:52 UTC,CPH-CAN,2027-03-20,2027-04-10,8352,DKK,Air China,1
2026-08-27 17:17 UTC,CPH-CAN,2027-03-20,2027-04-10,7857,DKK,Air China,1
2026-08-28 18:10 UTC,CPH-CAN,2027-03-20,2027-04-10,8272,DKK,Air China,1
