checked_at,outbound,return,price,was,currency,cells_seen,cheapest_price,cheapest_out,cheapest_ret
2026-08-02 10:36 UTC,2027-03-20,2027-04-10,8290,8411,DKK,49,7303,17/03/2027,08/04/2027
2026-08-02 10:44 UTC,2027-03-20,2027-04-10,8290,8411,DKK,49,7303,17/03/2027,08/04/2027
2026-08-03 09:39 UTC,2027-03-20,2027-04-10,8290,8411,DKK,49,6953,17/03/2027,09/04/2027
2026-08-04 08:33 UTC,2027-03-20,2027-04-10,8289,8410,DKK,49,6952,17/03/2027,07/04/2027
2026-08-05 08:32 UTC,2027-03-20,2027-04-10,8231,8352,DKK,49,6894,17/03/2027,07/04/2027
2026-08-06 08:31 UTC,2027-03-20,2027-04-10,8232,8353,DKK,49,6895,17/03/2027,09/04/2027
2026-08-07 07:11 UTC,2027-03-20,2027-04-10,8231,8352,DKK,49,7244,17/03/2027,08/04/2027
2026-08-08 06:46 UTC,2027-03-20,2027-04-10,8231,8352,DKK,49,6894,17/03/2027,07/04/2027
2026-08-09 06:52 UTC,2027-03-20,2027-04-10,8231,8352,DKK,49,7244,17/03/2027,08/04/2027
2026-08-10 07:26 UTC,2027-03-20,2027-04-10,8231,8352,DKK,49,7244,17/03/2027,07/04/2027
2026-08-12 07:20 UTC,2027-03-20,2027-04-10,8231,8352,DKK,49,7244,17/03/2027,07/04/2027
2026-08-13 07:22 UTC,2027-03-20,2027-04-10,8231,8352,DKK,49,7354,18/03/2027,07/04/2027
2026-08-14 07:20 UTC,2027-03-20,2027-04-10,8231,8352,DKK,49,7354,18/03/2027,07/04/2027
2026-08-15 06:33 UTC,2027-03-20,2027-04-10,8232,8353,DKK,49,7245,17/03/2027,07/04/2027
2026-08-16 06:34 UTC,2027-03-20,2027-04-10,8232,8353,DKK,49,7245,17/03/2027,07/04/2027
2026-08-17 06:48 UTC,2027-03-20,2027-04-10,8232,8353,DKK,49,7245,17/03/2027,07/04/2027
2026-08-18 06:38 UTC,2027-03-20,2027-04-10,8572,,DKK,49,7244,17/03/2027,07/04/2027
2026-08-19 06:39 UTC,2027-03-20,2027-04-10,9765,,DKK,49,7592,22/03/2027,07/04/2027
